codigo_producto,nombre_producto,peso_manual,peso_calculado,no_recomendar
BLPXXX006,BLOCK POST HX A04 FLUOR 1.5X2PULG 38X51MM BL4U,1.2,1.0,True
PAPUSG007,PAPELERO USIGN US 3022 DOBLE PLASTICO,0.5,1.0,True
PEGACO006,PEGAMENTO ACRICOLOR ISOCOLA LIQ 250G,0.7,1.0,True
CATABC023,CARTAP ABC 3A CARTA CARTON ANILLA D PLENO,1.5,0.5,True
FOLVIN018,FOLDER VINIFAN TAPA TRANSPARENTE OFICIO AZUL MARINO C/FASTENER,0.7,1.0,False
SERATS001,SERCHA ARTESCO 06 013 JGO3U,1.5,1.0,False
PEGPEL011,PEGAMENTO PELIKAN MX EN BARRA PELIFIX 40G,0.5,1.0,False
RESPEL056,RESALTADOR PELIKAN MX 414 NAR BISELADA,1.5,1.2,False
CCHISO002,CUCHILLA ISOFIT  GRUESA,0.5,1.2,True
MRDLAY001,MARCADOR LAYCONSA JUMBO L 47 AZUL,1.5,1.0,True
RESPEL042,RESALTADOR PELIKAN CO 041 900 4250 VER FLASH GRUESO,1.5,1.2,False
SOBXXX021,SOBRE MANILA DOBLE OFICIO 38X48CM,0.5,1.0,True
PORPIL001,PORTAMINA PILOT H 165 0.5MM,0.7,1.0,False
FORRIC010,FORRO RICOR 1/2 OFICIO PLAST VER,1.2,1.0,True
PBOXXX103,PAP BOND 75GR BLAN OFICIO BOREAL,1.5,1.0,True
AGEABC012,AGENDA ABC COLEGIO MONTESSORI 2024,0.7,1.0,True
FUNUSG001,FUNDA PLAST USIGN US LW110T CARTA,1.2,1.0,False
FUNUSG003,FUNDA PLAST USIGN US LW110G OFICIO,1.2,1.0,False
CAVWJO007,CARTAP VISOR WILSON JONES 0256 2PULG 3A CARTA NEG,1.2,1.0,False
FOLUSG016,FOLDER USIGN US 4161G OFICIO LIGA PLAST,0.5,1.0,True
CUAABC105,CUADERNO ABC ESP CARTA CUAD 5MM 200HJS DISEÑO,0.7,1.0,False
MCPPTL047,MICROPUNTA PENTEL BL417 AX NEG 0.7MM ENERGEL,1.5,1.0,True
MCPPTL061,MICROPUNTA PENTEL BLN415 AX NEG 0.5MM ENERGEL,1.2,1.0,False
PEGPOX003,PEGAMENTO POXIPOL LA GOTITA,1.2,1.0,True
CAUXXX064,CARTULINA DUPLEX 250 GR 77 X110 CM,1.2,1.0,True
BLPGNR001,BLOCK POST GEN BANDERITAS JGO5COL,1.2,1.0,True
LAPPEL010,LAPIZ PELIKAN MX CUERPO HEXAGONAL AZU GOMA NEG 2HB,0.7,1.0,True
PEGMNP003,PEGAMENTO MONOPOL CARPICOLA 300 ML (PQ/15U.),0.7,1.0,False
TAPXXX004,TAPA PLAST ENCUADER CARTA COLOR,0.7,1.2,False
CLPIDL002,CLIP METAL IDEAL NO8 50MM CJ100U,1.2,1.0,True
RESPEL039,RESALTADOR PELIKAN CO 041 900 420 AZU FLASH GRUESO,0.5,1.0,False
RESPEL044,RESALTADOR PELIKAN CO 041 900 510 DURAZ FLASH PASTEL GRUESO,0.5,1.0,False
MINLYR022,MINA LYRA 2181 5001102 NEG 0.5MM 2B,1.2,1.0,True
RESPEL052,RESALTADOR PELIKAN CO 041 900 590 HIELO FLASH PASTEL GRUESO,0.7,1.0,False
MCPPTL041,MICROPUNTA PENTEL BLN105 AX NEG 0.5MM ENERGEL RETRAC,1.5,1.0,False
FASLEY001,FASTENER LEYDEZ METALICO CJ50PZ,0.5,1.0,False
CAEABC011,CALENDARIO ABC 2024 PLANIFICADOR DE ESC,0.5,1.0,False
BOLPTL088,BOLIGRAFO PENTEL BX420 D VER 1.0MM FEEL IT RETRAC,1.5,1.0,False
TTMATS004,TINT TAMPO ARTESCO VER 30ML,0.5,1.0,False
AGETLC054,AGENDA TILUCHI 2024 SEMANAL,1.2,1.5,True
BLPXXX004,BLOCK POST FLUOR FIGURAS,0.7,1.2,False
FOLVIN024,FOLDER VINIFAN TAPA FANTASIA PLASTICO  MAGENTA C/LIGA,1.2,1.0,False
BOLPIL006,BOLIGRAFO PILOT BP S VER FINO,1.2,1.0,True
BOLPIL007,BOLIGRAFO PILOT BP S VIO FINO,1.5,1.0,True
LAPPEL014,LAPIZ PELIKAN MX NEG 2 HB CUERPO TRIANG SILVERSTAR COD30330244 BARRIL50U,1.2,0.7,True
PEGMNP012,PEGAMENTO MONOPOL CARPICOLA 90 ML.(PQ/60U),1.5,0.7,True
ARCLEY052,ARCHIVADOR LEYDEZ PALANCA GUI PLAST,0.7,1.0,False
LAPLYR030,LAPIZ LYRA 2052901 REMBRANDT BLA OIL,1.5,1.0,False
CUAABC113,CUADERNO ABC ESP CARTA CUAD 5MM 100 HJS PLENO PASTEL,0.5,1.0,True
BOLPTL077,BOLIGRAFO PENTEL BX417 P ROS 0.7MM FEEL IT RETRAC,0.7,1.0,True
BOLPTL079,BOLIGRAFO PENTEL BX417 V VIO 0.7MM FEEL IT RETRAC,1.2,1.0,True
MCPPTL054,MICROPUNTA PENTEL BL417 VX VIO 0.7MM ENERGEL,1.2,1.0,True
BOLPTL073,BOLIGRAFO PENTEL BX417 B ROJ 0.7MM FEEL IT RETRAC,1.5,1.0,False
BOLPTL074,BOLIGRAFO PENTEL BX417 C AZU 0.7MM FEEL IT RETRAC,1.2,1.0,False
FORVIN006,FORRO VINIFAN 0.45X3M FILM CONTACT,1.5,1.0,False
BLPIDL004,BLOCK POST IDEAL 3X2PULG 76X51MM JGO5COL,1.5,1.0,False
TIJPEL007,TIJERA PELIKAN MX 08000140 OFICINA 7PULG ACERO INOX,0.5,1.0,True
CLPGNR001,CLIP METAL GEN NO8 50MM CJ100U,0.5,1.0,False
CNDPGF002,CINTA DIUREX PEGAFAN 705 CRIST 3/4PULG X 36 YDS,0.7,1.0,False
SEPUSG006,SEPARADOR USIGN US 012 COLOR A4 JGO 1 A 12 NUM,1.5,1.0,False
LAPLYR057,LAPIZ LYRA 1760100 NEG HB GROOVE SLIM SIN GOMA,1.5,1.0,True
ARCXXX001,ARCHIVADOR RAPIDO OFICIO MEC METAL,0.7,1.2,True
BOLPEL003,BOLIGRAFO PELIKAN MX POINTEC ROJ 1.0MM,0.7,1.0,True
BOLPEL004,BOLIGRAFO PELIKAN MX POINTEC VER 1.0MM,1.2,1.0,True
RESPEL047,RESALTADOR PELIKAN CO 041 900 540 AQUA FLASH PASTEL GRUESO,0.5,1.5,False
JUEART008,JUEGO ARTI TACJUEDI003 ZAPATILLA GOMA EVA 3EN 1,0.7,1.0,False
PILPWO013,PILAS ALKALINAS POWER ONE P-AA/6 BL6U,0.7,1.0,True
MCPPTL084,MICROPUNTA PENTEL BL437R S  CEL  0.7MM ENERGEL RETRACT,0.5,1.5,False
XLIGUM045,LA BARCA SIN PESCADOR,1.2,1.0,True
BSAMDF002,BOLSA ECOLOGICA MODA FASHION DE TOCUYO 37X38 CM CRUDO,0.7,1.0,True
PKRXXX003,PAP KRAFT 125GR 102X160CM,0.7,1.0,True
PLFPEL032,PLUMAFUENTE PELIKAN AL 821827 JAZZ NOBLE ELEGANCE  P36 DORADO,1.2,1.5,False
ETQPGF055,ETIQUETAS PEGAFAN BLA A4 007 210X297MM HJA 1ETQ CJA 50HJ,1.2,0.7,False
MCPPTL053,MICROPUNTA PENTEL BL417 SX CEL 0.7MM ENERGEL,0.7,1.2,True
CUAABC080,CUADERNO ABC OFICIO CUAD COL ALEMAN,0.5,1.0,False
FOLVIN006,FOLDER VINIFAN DOBLE TAPA OFICIO AMARILLO GUS,1.5,1.2,False
CUAABC068,CUADERNO ABC ESP PATAGONIA 1/2 OFI CUAD 5MM 75GR 120HJS,1.5,1.0,False
ARCLEY054,ARCHIVADOR LEYDEZ PALANCA NEG PLAST,0.7,1.2,True
TRAATS002,TRANSPORT ARTESCO 360X15CM,0.5,1.0,False
ENGGNR002,ENGRAPADOR GEN DL0582 MINI C/GRAPA  24/6,0.5,1.0,True
CNKPGF003,CINTA MASK PEGAFAN 500 1PULG X 40YDS,1.2,1.0,False
BOLPEL043,BOLIGRAFO PELIKAN MX TANGO AZU 1MM,0.5,0.7,True
FOLUSG020,FOLDER USIGN US 3735G OFICIO PLAST BOLSA GEMELA,1.0,0.5,True
FASLEY002,FASTENER LEYDEZ METALICO,0.7,1.0,True
BOLPRK087,BOLIGRAFO PARKER 1953182 JOTTER ACERO INOX CLIP DORADO,0.7,1.0,True
RBLPRK010,RPTO BOLIG PARKER 1950368 QUINK FLOW AZU F,1.5,1.0,True
PFOMDN001,PAP FOTOGRAF MADISON A4 CJA20U,0.5,0.7,False
XLNGUM143,LOS HIJOS DEL ALCOHOL,0.5,1.0,False
BOLPTL092,BOLIGRAFO PENTEL BX420 V VIO 1.0MM FEEL IT RETRAC,0.7,1.0,False
CNEPGF003,CINTA EMBAL PEGAFAN 740 TRANSP 48MM X 100YDS,1.2,1.0,False
PREDEL013,PORTAREVIS DELLO 6023.I.0006 DELLOCOLOR HUMO,1.0,0.5,False
TTMATS003,TINT TAMPO ARTESCO ROJ 30ML,0.7,1.0,True
MCPPTL063,MICROPUNTA PENTEL BLN415 CX AZU 0.5MM ENERGEL,0.5,1.2,True
PAAXXX008,PAP ARAÑA VER MANZANA 50X80CM,1.5,1.0,True
KITABC004,CUADERNO ABC ESP CARTA CUADERNO DE RECETAS (PQ2UNID),0.5,1.0,False
MRAMON002,MARC AGUA MON AMI AZU,1.2,1.0,True
CUDABC027,CUADERNILLO ABC RAYADO OFICIO,1.2,1.0,False
CNATCN006,CINTA ADHES TACON AMA OFERTA 3/4PULG X 55YDS,1.0,1.2,False
PBOBRE020,PAP BOND BOREAL BLAN CARTA 75GR PQ500HJS,0.5,1.0,False
CLPPOL002,CLIP METAL POLI NO3 33MM CJ100U,1.2,1.0,True
FOLXXX009,FOLDER CREMA OFICIO CARTULINA 200GR,0.5,1.0,True
GOMPEL006,GOMA BORRAR PELIKAN MX MIGAJON M 40,0.7,1.0,False
CCHISO004,CUCHILLA ISOFIT 25623 3 GRUESA PLAST,0.7,1.0,True
BOLPTL045,BOLIGRAFO PENTEL BX487 A NEG 0.7MM FEEL IT,1.5,1.0,True
FORRIC008,FORRO RICOR 1/2 OFICIO PLAST AZU,0.7,1.0,False
GLIPEL013,GLITER PELIKAN AR 09700029 AZUL PASTEL 60ML,1.0,0.7,True
LAPLYR041,LAPIZ LYRA 1210102 2510 NEG 2B=0 ROBINSON,1.2,1.0,False
PINETE007,PINCEL ETERNA 577 NO06,1.2,1.0,False
PBOLEY105,PAP BOND LEYDEZ LAVANDA 80GR CARTA PQ100HJS,1.2,0.7,True
MRDPEL010,MARCADOR PELIKAN MX MARKANA NEG,0.5,1.0,False
MCPPTL072,MICROPUNTA PENTEL BL417 S3X TURQ 0.7MM ENERGEL,1.5,1.0,True
XFSALB001,FILOSOFIA PARA CURIOSOS,0.7,1.0,True
CUAABC101,CUADERNO ABC ESP 1/2 OFICIO CUAD 5MM 100HJS PLENO,1.5,1.0,False
AGEXXX019,AGENDA 2024 CLASICA FLORES CFL 14X20 CONFETTI,1.5,1.0,False
CNAPGF030,CINTA ADHES PEGAFAN DOBLE FAZ 3/4PULG X 11 YDS,0.7,1.0,False
PCRUSG003,PORTACREDEN USIGN US 04V 70X105MM CORDON,1.2,1.0,True
FOLUSG010,FOLDER USIGN US A40 A4 PLAST CON 40 FUNDAS,0.5,1.0,False
MCPPTL032,MICROPUNTA PENTEL BLN25 B ROJ 0.5MM ENERGEL,0.7,1.0,True
BLBABC004,BLOCK BOND ABC BLA RAY CARTA 50HJS,0.7,1.0,False
CUAABC081,CUADERNO ABC ENGRAP 40HJS CUAD 4MM TAM 26X18CM,0.5,1.0,True
GOMPTL001,GOMA BORRAR PENTEL ZEH 05,0.5,1.0,True
BOLPEL041,BOLIGRAFO PELIKAN MX TANGO NEG 0.5MM,1.2,1.5,False
RCBADP005,RPTO.CUBO ARDIP DIF.COLOR 9X9CM (BLOC/500HJS),0.7,1.0,True
BOLPTL061,BOLIGRAFO PENTEL BX427 B ROJ 0.7MM FEEL IT,1.5,1.0,False
LPLXXX003,LAMINA PLASTIFICAR OFICIO,0.5,1.0,True
PBORPO001,PAP BOND REPROGRAF BLAN 75GR CARTA PQ500HJS,1.5,1.0,True
RESPEL027,RESALTADOR PELIKAN MX 414 VER BISELADA,1.2,1.0,True
FUNUSG005,FUNDA PLAST USIGN US 219 OFICIO TRANSP CON BROCHE,1.2,1.0,True
RESPEL038,RESALTADOR PELIKAN CO 041 900 410 AMA FLASH GRUESO,1.5,0.5,False
RESPEL041,RESALTADOR PELIKAN CO 041 900 4240 ROS FLASH GRUESO,0.7,1.0,False
RESPEL046,RESALTADOR PELIKAN CO 041 900 530 LAVAN FLASH PASTEL GRUESO,0.7,1.0,True
BOLPTL050,BOLIGRAFO PENTEL BX487 S CEL 0.7MM FEEL IT,1.5,1.0,False
CRJPEL013,CRAYON JGO PELIKAN MX EXTRA JUMBO REDONDO JGO8 COLOR PELICRAYONES,1.2,1.0,False
BOLPTL089,BOLIGRAFO PENTEL BX420 F NAR 1.0MM FEEL IT RETRAC,1.2,1.0,True
MCPPTL049,MICROPUNTA PENTEL BL417 CX AZU 0.7MM ENERGEL,1.2,1.0,True
CUAABC103,CUADERNO ABC ESP CARTA CUAD 5MM 100HJS PLENO,0.5,1.0,False
CUAABC300,CUADERNO ABC NOTCOM  ESP CARTA RAYADO 100HJS ,0.5,1.0,False
XLIBTN018,EL HOMBRE MEDIOCRE C E D C ART 110027,1.0,1.2,False
AGEV&R100,AGENDA V&R 2024 COHELO CARTONE ,0.7,1.2,True
ETQPGF054,ETIQUETAS PEGAFAN BLA A4 005 38X99MM HJA 14ETQ CJA 50HJ,1.5,1.0,True
LCLPEL006,LAPIC COLOR PELIKAN AR 30330308 JUMBO 5MM TRIANG LARGO JGO12U,0.7,1.0,False
PINMDN011,PINCEL MADISON NO 0,0.5,1.0,False
GOMPEL031,GOMA BORRAR PELIKAN MX WS 60 BLANCA LAPIZ,1.5,1.0,True
AGETLC055,AGENDA TILUCHI 2024 DIRECTOR ANILLADA,1.2,1.0,True
SOBXXX023,SOBRE MANILA FOLDER 30X40CM,0.5,1.0,True
PTLUSG005,PORTALAPIZ USIGN US K158 PLAST MULTIFUNCION,1.5,1.0,True
FOLVIN015,FOLDER VINIFAN TAPA TRANSPARENTE OFICIO AMA C/FASTENER,0.7,1.0,True
CUAABC126,CUADERNO ABC ESP 1/2 OFICIO CUAD  5MM 100HJS MARGEN ROJO  TAPA DURA PLENO,0.5,1.0,False
BOLPEL049,BOLIGRAFO PELIKAN MX POINTEC FINO NEG 0.7MM,0.7,1.0,False
MRDPTL017,MARCADOR PENTEL N450 A NEG PERM RECARG PTA REDONDA,1.2,1.0,True
RESPEL050,RESALTADOR PELIKAN CO 041 900 570 CORAL FLASH PASTEL GRUESO,1.5,1.0,True
RESPEL055,RESALTADOR PELIKAN CO 041 900 560 BANANA FLASH PASTEL GRUESO,0.7,1.0,True
SOBXXX019,SOBRE MANILA CARTA,1.5,1.0,False
FORRIC007,FORRO RICOR 1/2 OFICIO PLAST NAR,0.5,1.0,False
MCPPTL031,MICROPUNTA PENTEL BLN25 CX AZU 0.5MM ENERGEL,1.2,1.0,True
PINPAG006,PINCEL PAGODA 251 NO08,1.0,1.2,True
HJCABC021,HJA CARPETA ABC 2 PERF CUAD 5MM PQ500HJS,1.2,1.5,False
GOEXXX047,GOMA EVA LISA AZU OSC 50X70CM,1.5,1.0,True
BLPHOA023,BLOCK POST HOPAX 26029  45MMX12MM 5 COLORES ,1.0,0.7,True
PSBXXX011,PAP SABANA 77X110CM,1.2,1.0,False
LAPSTB004,LAPIZ STABILO 1600 315 ROJ AQUACOLOR,1.5,1.0,False
PBOPRM001,PAP.BOND PRISME COLOR T/CARTA 12COL.80GR.PQ/500HJS,1.2,1.0,True
BLDPEL006,BLOCK DIBUJ PELIKAN AL SR3 20 1181X1575PULG 30X40CM 251041,1.5,0.5,False
LAPPEL007,LAPIZ PELIKAN MX BICOLOR JUMBO ROJO AZUL,1.2,1.0,False
LAPPEL006,LAPIZ PELIKAN MX BICOLOR ROJO AZUL,0.7,1.0,True
MRDUNI001, MARCADOR UNI PIN BR-GC BRUSHSIGN GRIS CLARO,1.2,0.5,True
CUAABC401,CUADERNO ABC ENGRAP 46HJS C COOL50 CUAD 5MM PQT 10 PIEZAS,0.7,1.0,True
FOLVIN021,FOLDER VINIFAN TAPA FANTASIA PLASTICO AZUL C/LIGA,0.7,1.0,True
BOLBEI002,BOLIGRAFO BEIFA AA927 AZU CJA 50U,1.2,1.0,True
LAPATS005,LAPIZ ARTESCO ROJ C/GOMA,1.2,1.0,False
COPKOF001,COMPAS KOFA 3005 ESCOLAR,1.5,1.0,False
LAPSTB006,LAPIZ STABILO 4909 06 HB NEG SWANO,0.5,1.0,False
MRDPTL030,MARCADOR PENTEL N450 P ROS PERM RECARG PTA REDONDA,1.2,1.5,False
MINPEL002,MINA PELIKAN MX NEG 0.7MM HB,1.2,0.7,True
