"codigo_producto","nombre_producto","peso_manual","peso_calculado"
"BLPXXX006","BLOCK POST HX A04 FLUOR 1.5X2PULG 38X51MM BL4U","1.2","1"
"PAPUSG007","PAPELERO USIGN US 3022 DOBLE PLASTICO","0.5","1"
"PEGACO006","PEGAMENTO ACRICOLOR ISOCOLA LIQ 250G","0.7","1"
"CATABC023","CARTAP ABC 3A CARTA CARTON ANILLA D PLENO","1.5","0.5"
"FOLVIN018","FOLDER VINIFAN TAPA TRANSPARENTE OFICIO AZUL MARINO C/FASTENER","0.7","1"
"SERATS001","SERCHA ARTESCO 06 013 JGO3U","1.5","1"
"PEGPEL011","PEGAMENTO PELIKAN MX EN BARRA PELIFIX 40G","0.5","1"
"RESPEL056","RESALTADOR PELIKAN MX 414 NAR BISELADA","1.5","1.2"
"CCHISO002","CUCHILLA ISOFIT  GRUESA","0.5","1.2"
"MRDLAY001","MARCADOR LAYCONSA JUMBO L 47 AZUL","1.5","1"
"RESPEL042","RESALTADOR PELIKAN CO 041 900 4250 VER FLASH GRUESO","1.5","1.2"
"SOBXXX021","SOBRE MANILA DOBLE OFICIO 38X48CM","0.5","1"
"PORPIL001","PORTAMINA PILOT H 165 0.5MM","0.7","1"
"FORRIC010","FORRO RICOR 1/2 OFICIO PLAST VER","1.2","1"
"PBOXXX103","PAP BOND 75GR BLAN OFICIO BOREAL","1.5","1"
"AGEABC012","AGENDA ABC COLEGIO MONTESSORI 2024","0.7","1"
"FUNUSG001","FUNDA PLAST USIGN US LW110T CARTA","1.2","1"
"FUNUSG003","FUNDA PLAST USIGN US LW110G OFICIO","1.2","1"
"CAVWJO007","CARTAP VISOR WILSON JONES 0256 2PULG 3A CARTA NEG","1.2","1"
"FOLUSG016","FOLDER USIGN US 4161G OFICIO LIGA PLAST","0.5","1"
"CUAABC105","CUADERNO ABC ESP CARTA CUAD 5MM 200HJS DISEÑO","0.7","1"
"MCPPTL047","MICROPUNTA PENTEL BL417 AX NEG 0.7MM ENERGEL","1.5","1"
"MCPPTL061","MICROPUNTA PENTEL BLN415 AX NEG 0.5MM ENERGEL","1.2","1"
"PEGPOX003","PEGAMENTO POXIPOL LA GOTITA","1.2","1"
"CAUXXX064","CARTULINA DUPLEX 250 GR 77 X110 CM","1.2","1"
"BLPGNR001","BLOCK POST GEN BANDERITAS JGO5COL","1.2","1"
"LAPPEL010","LAPIZ PELIKAN MX CUERPO HEXAGONAL AZU GOMA NEG 2HB","0.7","1"
"PEGMNP003","PEGAMENTO MONOPOL CARPICOLA 300 ML (PQ/15U.)","0.7","1"
"TAPXXX004","TAPA PLAST ENCUADER CARTA COLOR","0.7","1.2"
"CLPIDL002","CLIP METAL IDEAL NO8 50MM CJ100U","1.2","1"
"RESPEL039","RESALTADOR PELIKAN CO 041 900 420 AZU FLASH GRUESO","0.5","1"
"RESPEL044","RESALTADOR PELIKAN CO 041 900 510 DURAZ FLASH PASTEL GRUESO","0.5","1"
"MINLYR022","MINA LYRA 2181 5001102 NEG 0.5MM 2B","1.2","1"
"RESPEL052","RESALTADOR PELIKAN CO 041 900 590 HIELO FLASH PASTEL GRUESO","0.7","1"
"MCPPTL041","MICROPUNTA PENTEL BLN105 AX NEG 0.5MM ENERGEL RETRAC","1.5","1"
"FASLEY001","FASTENER LEYDEZ METALICO CJ50PZ","0.5","1"
"CAEABC011","CALENDARIO ABC 2024 PLANIFICADOR DE ESC","0.5","1"
"BOLPTL088","BOLIGRAFO PENTEL BX420 D VER 1.0MM FEEL IT RETRAC","1.5","1"
"TTMATS004","TINT TAMPO ARTESCO VER 30ML","0.5","1"
"AGETLC054","AGENDA TILUCHI 2024 SEMANAL","1.2","1.5"
"BLPXXX004","BLOCK POST FLUOR FIGURAS","0.7","1.2"
"FOLVIN024","FOLDER VINIFAN TAPA FANTASIA PLASTICO  MAGENTA C/LIGA","1.2","1"
"BOLPIL006","BOLIGRAFO PILOT BP S VER FINO","1.2","1"
"BOLPIL007","BOLIGRAFO PILOT BP S VIO FINO","1.5","1"
"LAPPEL014","LAPIZ PELIKAN MX NEG 2 HB CUERPO TRIANG SILVERSTAR COD30330244 BARRIL50U","1.2","0.7"
"PEGMNP012","PEGAMENTO MONOPOL CARPICOLA 90 ML.(PQ/60U)","1.5","0.7"
"ARCLEY052","ARCHIVADOR LEYDEZ PALANCA GUI PLAST","0.7","1"
"LAPLYR030","LAPIZ LYRA 2052901 REMBRANDT BLA OIL","1.5","1"
"CUAABC113","CUADERNO ABC ESP CARTA CUAD 5MM 100 HJS PLENO PASTEL","0.5","1"
"BOLPTL077","BOLIGRAFO PENTEL BX417 P ROS 0.7MM FEEL IT RETRAC","0.7","1"
"BOLPTL079","BOLIGRAFO PENTEL BX417 V VIO 0.7MM FEEL IT RETRAC","1.2","1"
"MCPPTL054","MICROPUNTA PENTEL BL417 VX VIO 0.7MM ENERGEL","1.2","1"
"BOLPTL073","BOLIGRAFO PENTEL BX417 B ROJ 0.7MM FEEL IT RETRAC","1.5","1"
